Customer_ID,Customer_Name,Email,Phone_Number,Product_ID,Product_Name,Order_ID,Order_Date,Order_Amount,Order_Status,Service_Type,Campaign_ID,Campaign_Name,Response_Rate (%),Conversion_Rate (%),Warehouse_Location,Shipping_Method,Shipping_Cost,Customer_Region,Profit_Margin (%)
CUST00001,Stephen Griffith,julie75@williams-lawson.com,001-689-855-7801x4161,PROD0496,Among,ORD0000001,2023-08-01,3838.19,Completed,Fulfillment,CAMP0001,Nature Campaign,38.23,8.05,Shenzhen,Sea,155.89,Europe,30.38
CUST00002,John Johnson,julie95@yahoo.com,(238)702-1428,PROD0051,Main,ORD0000002,2019-11-10,6055.08,Completed,Fulfillment,CAMP0001,Whether Campaign,16.7,22.24,Toronto,Ground,120.12,South America,8.92
CUST00003,Jeffrey Garcia,smithjoseph@odom-barr.com,001-007-973-8310,PROD0155,Authority,ORD0000003,2020-07-30,2047.23,Pending,Fulfillment,CAMP0082,Economic Campaign,45.73,17.55,Shenzhen,Ground,171.1,North America,35.88
CUST00004,Nicole Hardy,perrykelly@jones-ferguson.com,001-896-976-1029x22710,PROD0081,Blood,ORD0000004,2019-03-24,1885.57,Pending,Fulfillment,CAMP0070,These Campaign,2.31,26.74,Indianapolis,Air,126.24,Europe,12.18
CUST00005,Kristine Nielsen,dmarshall@perkins.com,001-773-960-6881x63183,PROD0011,They,ORD0000005,2019-09-14,5160.15,Shipped,Fulfillment,CAMP0052,Cold Campaign,25.37,12.72,Berlin,Sea,411.4,North America,23.39
CUST00006,Jillian Smith,pagekaren@gmail.com,105.804.6650x70407,PROD0270,Upon,ORD0000006,2019-01-18,9095.19,Canceled,Direct Mail,CAMP0048,Read Campaign,13.5,25.09,Shenzhen,Sea,261.42,Asia,40.56
CUST00007,Jessica Mayo,lwise@gmail.com,581-210-6301x15920,PROD0449,Dog,ORD0000007,2023-06-19,7799.82,Completed,Printing,CAMP0098,Picture Campaign,47.31,7.58,Toronto,Sea,291.14,North America,26.43
CUST00008,Lori Adams,victoriamcconnell@hotmail.com,001-681-020-4347x0835,PROD0013,Charge,ORD0000008,2022-08-15,8613.36,Shipped,Fulfillment,CAMP0008,Democratic Campaign,9.15,28.77,Toronto,Sea,381.0,Europe,7.75
CUST00009,Dawn Quinn,amyparker@moreno.com,617.804.3952x901,PROD0105,Civil,ORD0000009,2021-08-30,8637.73,Shipped,Printing,CAMP0016,Level Campaign,27.78,9.75,Shenzhen,Air,225.25,North America,39.21
CUST00010,Ashley Chapman,rthomas@yahoo.com,5168614705,PROD0233,News,ORD0000010,2022-02-25,3671.5,Shipped,Fulfillment,CAMP0075,Will Campaign,42.0,15.86,Toronto,Sea,143.86,Europe,6.32
CUST00011,Kyle Jennings,jennifer65@hotmail.com,814.752.1094x893,PROD0371,How,ORD0000011,2018-04-14,9647.71,Canceled,Printing,CAMP0009,Question Campaign,19.32,3.42,Shenzhen,Air,115.68,Asia,43.19
CUST00012,Mark Fisher,dbennett@hotmail.com,001-161-151-0054x972,PROD0356,Or,ORD0000012,2019-08-06,8704.21,Completed,Direct Mail,CAMP0077,Commercial Campaign,8.48,21.73,Toronto,Sea,377.07,Asia,28.37
CUST00013,Jeffery Guzman,brandtdavid@pearson.net,913.084.3846x612,PROD0315,Book,ORD0000013,2018-06-29,5465.76,Pending,Printing,CAMP0003,Ok Campaign,27.38,1.39,Berlin,Sea,281.49,Asia,21.5
CUST00014,Patricia Bennett,walkernicholas@bradshaw-allen.info,(843)288-3721x88493,PROD0127,Can,ORD0000014,2023-06-18,7179.28,Completed,Direct Mail,CAMP0029,System Campaign,31.12,24.98,Indianapolis,Air,222.13,South America,8.94
CUST00015,Christopher Edwards Jr.,jasoncastillo@yahoo.com,4545240333,PROD0387,Among,ORD0000015,2019-08-30,7941.43,Shipped,Direct Mail,CAMP0093,Important Campaign,17.67,2.91,Berlin,Ground,162.78,North America,45.86
CUST00016,Dr. Susan Coleman MD,hurstsusan@yahoo.com,475.542.4428x5264,PROD0207,Technology,ORD0000016,2022-09-19,2102.69,Pending,Direct Mail,CAMP0027,Business Campaign,10.77,25.88,Berlin,Sea,11.84,South America,37.83
CUST00017,Darlene Thompson,reyeswilliam@hotmail.com,(600)445-6925x2964,PROD0008,Hot,ORD0000017,2020-09-06,5422.42,Shipped,Printing,CAMP0001,Kid Campaign,47.65,4.93,Berlin,Sea,445.61,South America,47.59
CUST00018,Rodney Schroeder,yorkhannah@gmail.com,+1-169-765-7844x457,PROD0009,Marriage,ORD0000018,2021-07-06,170.99,Pending,Printing,CAMP0075,Value Campaign,34.81,16.58,Shenzhen,Sea,167.2,Europe,33.62
CUST00019,Jennifer Burns,marywilkins@coleman.com,001-073-870-6920x6400,PROD0354,Magazine,ORD0000019,2019-12-15,9626.45,Shipped,Printing,CAMP0003,Treat Campaign,47.56,18.94,Toronto,Air,32.41,South America,48.2
CUST00020,Amanda Palmer,tinali@hotmail.com,037.422.9444x278,PROD0287,Work,ORD0000020,2022-02-04,7671.94,Pending,Printing,CAMP0074,Career Campaign,13.48,25.1,Berlin,Air,353.37,Asia,17.69
CUST00021,Jason Stewart,mitchellmarsh@yahoo.com,924-994-1151x3060,PROD0381,Similar,ORD0000021,2022-03-21,7735.4,Canceled,Printing,CAMP0015,Theory Campaign,45.02,14.62,Shenzhen,Ground,113.5,Asia,23.38
CUST00022,Andrew Reed,annette22@gmail.com,001-967-629-3832x2412,PROD0447,Respond,ORD0000022,2022-04-20,7984.3,Canceled,Fulfillment,CAMP0082,Image Campaign,41.69,26.95,Toronto,Sea,36.13,South America,47.92
CUST00023,Matthew Edwards,shelleyking@parker.com,(839)332-7699x69785,PROD0425,Television,ORD0000023,2019-07-06,5068.73,Canceled,Direct Mail,CAMP0054,Administration Campaign,26.17,6.85,Shenzhen,Ground,159.98,South America,27.06
CUST00024,Christine Morris,adrian74@taylor.com,001-399-528-7035,PROD0074,Five,ORD0000024,2019-01-24,6938.18,Canceled,Direct Mail,CAMP0074,Suggest Campaign,19.12,1.95,Shenzhen,Air,450.49,Asia,5.05
CUST00025,Jennifer Carter,victorsmith@larson.com,681-695-8734x606,PROD0044,Also,ORD0000025,2021-03-25,2842.65,Completed,Fulfillment,CAMP0074,List Campaign,25.52,25.35,Toronto,Sea,59.16,Europe,27.08
CUST00026,Cynthia Larson,khartman@hotmail.com,889-031-4459,PROD0087,Official,ORD0000026,2018-09-23,2296.17,Completed,Direct Mail,CAMP0002,Dog Campaign,19.3,12.97,Shenzhen,Ground,36.71,Asia,15.3
CUST00027,Dennis Bell,pbell@williams.info,807.128.5815,PROD0109,Focus,ORD0000027,2023-12-06,6240.86,Completed,Direct Mail,CAMP0003,House Campaign,21.47,13.13,Shenzhen,Air,60.15,Asia,6.26
CUST00028,Tara Green,austinmcdonald@hall.org,319-701-0048x7389,PROD0262,Avoid,ORD0000028,2019-08-15,5263.51,Shipped,Fulfillment,CAMP0032,Those Campaign,29.01,27.82,Shenzhen,Sea,456.36,South America,26.83
CUST00029,Christina Lopez,carmenkeller@arnold.com,(939)003-7421,PROD0132,Security,ORD0000029,2022-10-12,4559.55,Completed,Direct Mail,CAMP0088,Above Campaign,38.69,24.2,Berlin,Air,482.31,North America,10.45
CUST00030,Richard Guerrero,ecastillo@hotmail.com,852-498-4868x197,PROD0322,Choice,ORD0000030,2019-01-07,8809.4,Completed,Direct Mail,CAMP0094,Character Campaign,6.23,7.41,Shenzhen,Ground,215.52,Europe,49.78
CUST00031,Michaela Murphy DDS,kelly65@delgado.com,(683)663-7611x38930,PROD0466,Thus,ORD0000031,2018-05-03,5448.0,Shipped,Printing,CAMP0086,Above Campaign,20.28,22.74,Shenzhen,Air,22.85,North America,15.98
CUST00032,Kathleen Combs,lindsaycalderon@ward-garcia.com,(957)054-1547,PROD0300,Fly,ORD0000032,2020-12-21,6305.08,Canceled,Printing,CAMP0044,Financial Campaign,35.96,20.1,Shenzhen,Air,346.5,South America,46.48
CUST00033,Gregory Diaz,robertrich@espinoza.org,+1-376-170-3089x223,PROD0454,Old,ORD0000033,2023-09-21,1960.89,Canceled,Printing,CAMP0008,Take Campaign,40.93,12.76,Berlin,Ground,178.07,Asia,36.89
CUST00034,Nicole Yang,rcook@hotmail.com,488-800-0815x0508,PROD0046,Sort,ORD0000034,2021-08-08,8657.36,Pending,Direct Mail,CAMP0007,Open Campaign,18.04,21.9,Indianapolis,Sea,462.24,North America,34.02
CUST00035,Morgan Williams,rcraig@beasley.com,608.159.9365,PROD0310,Difficult,ORD0000035,2018-05-30,6118.78,Canceled,Printing,CAMP0072,Authority Campaign,15.55,2.11,Indianapolis,Sea,170.59,South America,46.78
CUST00036,Edward Price,vargasnathan@huynh.com,361.991.4627x759,PROD0191,Guess,ORD0000036,2023-06-27,9560.95,Completed,Printing,CAMP0024,One Campaign,3.67,22.4,Shenzhen,Sea,69.08,North America,28.28
CUST00037,Mr. Ryan Robinson MD,adamsleslie@davis-terrell.com,868-407-2298,PROD0067,Total,ORD0000037,2023-10-22,941.93,Pending,Fulfillment,CAMP0008,Option Campaign,25.15,1.95,Berlin,Sea,117.04,South America,30.57
CUST00038,Kelly Lawrence,suzanne48@yahoo.com,509.020.1858x187,PROD0313,Room,ORD0000038,2020-09-30,3595.79,Pending,Direct Mail,CAMP0042,Ground Campaign,17.46,27.41,Indianapolis,Ground,35.2,North America,42.71
CUST00039,Mary Martinez,gdyer@hotmail.com,180-677-4379x23524,PROD0271,See,ORD0000039,2020-11-06,1252.92,Shipped,Direct Mail,CAMP0025,Conference Campaign,32.46,20.38,Berlin,Sea,308.13,North America,30.43
CUST00040,Raymond Mcconnell,christopher01@shaw.org,(581)603-8761x66553,PROD0411,Under,ORD0000040,2020-04-11,7635.29,Canceled,Fulfillment,CAMP0080,Concern Campaign,5.94,18.41,Toronto,Sea,460.74,Asia,38.86
CUST00041,Brittney Edwards,heather49@hotmail.com,093-140-1968x9510,PROD0080,Apply,ORD0000041,2022-08-05,8875.04,Canceled,Direct Mail,CAMP0079,Board Campaign,26.95,15.94,Toronto,Ground,417.33,Asia,11.71
CUST00042,Michael Moore,danielselizabeth@hotmail.com,(472)929-4807x10092,PROD0481,Challenge,ORD0000042,2020-04-14,6591.17,Completed,Direct Mail,CAMP0100,Rule Campaign,2.82,6.44,Toronto,Air,15.85,North America,6.09
CUST00043,Mr. Dylan Wolf,lisadunn@hotmail.com,+1-250-873-2789x159,PROD0016,Involve,ORD0000043,2018-01-11,3136.63,Pending,Printing,CAMP0085,Class Campaign,35.29,25.99,Shenzhen,Air,278.01,South America,13.24
CUST00044,Kristin Morrison,torrestimothy@yahoo.com,001-753-020-9119x7314,PROD0436,Economic,ORD0000044,2021-03-13,6742.19,Completed,Direct Mail,CAMP0019,Couple Campaign,40.05,28.81,Shenzhen,Air,207.65,South America,11.2
CUST00045,Veronica Lewis,alucero@johnson-miller.com,288.275.0526,PROD0333,Company,ORD0000045,2018-11-10,7771.81,Canceled,Printing,CAMP0082,Their Campaign,22.37,15.2,Toronto,Air,75.04,Asia,47.56
CUST00046,Erik Perkins,martinnancy@yahoo.com,(179)513-7054x72855,PROD0043,Possible,ORD0000046,2021-12-17,4219.51,Canceled,Fulfillment,CAMP0066,Beyond Campaign,32.43,10.16,Berlin,Ground,72.33,South America,34.58
CUST00047,Gregory Stewart,pauldavies@kirby.com,001-565-475-4581x1954,PROD0114,Day,ORD0000047,2022-05-04,9834.02,Pending,Direct Mail,CAMP0074,Scene Campaign,45.41,13.24,Shenzhen,Sea,106.36,South America,48.99
CUST00048,Amy Baker,odillon@wong.com,527-110-9488x1115,PROD0380,Today,ORD0000048,2020-04-12,4380.01,Shipped,Fulfillment,CAMP0043,Happy Campaign,8.63,10.97,Berlin,Ground,268.34,North America,35.27
CUST00049,Chelsea Martin,smiththomas@middleton-petty.com,001-775-329-0982x806,PROD0017,Film,ORD0000049,2021-01-18,2216.85,Canceled,Direct Mail,CAMP0034,Often Campaign,40.21,5.01,Indianapolis,Sea,214.58,South America,48.49
CUST00050,Thomas Elliott,oweiss@yahoo.com,744.221.5094x2511,PROD0073,Itself,ORD0000050,2018-07-27,3047.45,Shipped,Fulfillment,CAMP0061,Cause Campaign,4.01,27.97,Toronto,Sea,258.42,Asia,14.57
CUST00051,Susan Edwards,jessica68@yahoo.com,(167)818-6136,PROD0147,Box,ORD0000051,2020-07-26,7359.35,Completed,Fulfillment,CAMP0064,Recent Campaign,18.7,15.38,Indianapolis,Sea,302.18,Asia,43.47
CUST00052,Lauren Brewer,rebecca43@yahoo.com,933-116-7862x817,PROD0250,Today,ORD0000052,2018-07-14,1534.87,Completed,Direct Mail,CAMP0035,Analysis Campaign,7.2,27.87,Toronto,Ground,65.34,Asia,9.77
